query_id	result_count	time_ms	status	error_type
956	15	380.937	200	
957	92	17179.623	200	
958	2317	135.374	200	
959	439448	526.305	200	
960	492	44.541	200	
961	0	0.596	200	
962	0	92.011	200	
963	252	40.263	200	
964	1000000	372.690	200	
965	0	25.657	200	
966	1000000	2539.153	200	
967	0	1.579	200	
968	1269	59.384	200	
969	5	1.575	200	
970	858	28.357	200	
971	1620	221.742	200	
972	26199	88.313	200	
973	754	24.046	200	
974	15707	9.608	200	
975	76	228.812	200	
976	54310	547.658	200	
977	13158	387.599	200	
978	30741	284.567	200	
979	7636	189.419	200	
980	0	1.767	200	
981	1	1.317	200	
982	30197	30.112	200	
983	1	13.592	200	
984	0	1.953	200	
985	1000000	19419.450	200	
986	1000000	2328.125	200	
987	78583	473618.923	200	
988	193187	261.955	200	
989	1000000	308127.900	200	
990	1000000	65481.552	200	
991	0	1.941	200	
992	0	1.014	200	
993	0	10.670	200	
994	122307	551.640	200	
995	1000000	738.121	200	
996	405	12.268	200	
997	88	1.217	200	
998	0	1.867	200	
999	0	1.511	200	
1000	0	1.155	200	
